TC116.txt,0.0,          22.654,        105.968,        49.217,
TC116.txt,0.085,          22.655,        105.966,        49.068,
TC116.txt,0.174,          22.658,        105.964,        48.878,
TC116.txt,0.264,          22.66,        105.963,        48.671,
TC116.txt,0.352,          22.662,        105.963,        48.608,
TC116.txt,0.44,          22.664,        105.966,        48.587,
TC116.txt,0.532,          22.692,        105.968,        48.574,
TC116.txt,0.622,          22.863,        105.97,        48.565,
TC116.txt,0.711,          23.277,        105.971,        48.558,
TC116.txt,0.803,          24.055,        105.969,        48.551,
TC116.txt,0.892,          25.261,        105.968,        48.545,
TC116.txt,0.982,          26.927,        105.968,        48.542,
TC116.txt,1.074,          28.967,        105.967,        48.538,
TC116.txt,1.166,          30.762,        105.969,        48.535,
TC116.txt,1.258,          32.723,        105.969,        48.632,
TC116.txt,1.35,          34.798,        105.97,        48.706,
TC116.txt,1.442,          36.916,        105.97,        48.789,
TC116.txt,1.534,          39.044,        105.971,        48.862,
TC116.txt,1.626,          41.684,        105.972,        48.893,
TC116.txt,1.718,          44.299,        105.973,        48.908,
TC116.txt,1.81,          46.861,        105.973,        48.915,
TC116.txt,1.9,          49.374,        105.974,        49.059,
TC116.txt,1.989,          51.818,        105.976,        49.243,
TC116.txt,2.081,          53.749,        105.979,        49.447,
TC116.txt,2.173,          55.621,        105.978,        49.505,
TC116.txt,2.265,          57.43,        105.975,        49.522,
TC116.txt,2.357,          59.171,        105.972,        49.533,
TC116.txt,2.449,          60.845,        105.969,        49.537,
TC116.txt,2.541,          62.896,        105.968,        49.542,
TC116.txt,2.633,          64.86,        105.969,        49.547,
TC116.txt,2.722,          66.742,        105.968,        49.549,
TC116.txt,2.812,          68.536,        105.968,        49.551,
TC116.txt,2.897,          70.252,        105.968,        49.551,
TC116.txt,2.986,          71.591,        105.964,        49.553,
TC116.txt,3.078,          72.867,        105.96,        49.554,
TC116.txt,3.17,          74.081,        105.956,        49.554,
TC116.txt,3.262,          75.234,        105.953,        49.556,
TC116.txt,3.354,          76.33,        105.948,        49.557,
TC116.txt,3.446,          77.667,        105.942,        49.558,
TC116.txt,3.538,          79.157,        105.937,        49.559,
TC116.txt,3.627,          80.57,        105.933,        49.562,
TC116.txt,3.717,          81.913,        105.928,        49.561,
TC116.txt,3.809,          83.188,        105.925,        49.563,
TC116.txt,3.899,          84.398,        105.919,        49.564,
TC116.txt,3.988,          85.16,        105.912,        49.566,
TC116.txt,4.08,          85.885,        105.906,        49.567,
TC116.txt,4.165,          86.575,        105.9,        49.568,
TC116.txt,4.253,          87.23,        105.893,        49.571,
TC116.txt,4.341,          87.849,        105.887,        49.571,
TC116.txt,4.433,          88.603,        105.882,        49.571,
TC116.txt,4.525,          89.317,        105.876,        49.568,
TC116.txt,4.613,          89.994,        105.867,        49.568,
TC116.txt,4.704,          90.519,        105.859,        49.569,
TC116.txt,4.794,          91.019,        105.85,        49.569,
TC116.txt,4.88,          91.493,        105.846,        49.571,
TC116.txt,4.97,          91.939,        105.84,        49.572,
TC116.txt,5.057,          92.367,        105.834,        49.57,
TC116.txt,5.149,          92.886,        105.83,        49.57,
